,question,answer
0,What is the incubation period of the virus?,"Longitudinal analysis of laboratory findings during the process of recovery for patients with COVID-19 : 4 days (IQR, 2-7)
Epidemiological Characteristics of COVID-19; a Systemic Review and Meta-Analysis 1 : 5.84 (99% CI: 4.83, 6.85) days
Evolving epidemiology of novel coronavirus diseases 2019 and possible interruption of local transmission outside Hubei Province in China: a descriptive and modeling study : mean incubation period of 5.2 days
Clinical characteristics and durations of hospitalized patients with COVID-19 in Beijing: a retrospective cohort study : 4 (3-7) days
Clinical features and obstetric and neonatal outcomes of pregnant patients with COVID-19 in Wuhan, China: a retrospective, single-centre, descriptive study : 5 days (range 2-9 days)
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background : 7.44 days
Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms : 4 days (IQR 3-7 days)
Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)? : The median incubation period of both male and female adults was similar (7-day) but significantly shorter than that (9-day) of child cases
The difference in the incubation period of 2019 novel coronavirus (SARS-CoV-2) infection between travelers to Hubei and non-travelers: The need of a longer quarantine period : 1.8 and 7.2 days
Clinical Characteristics of 34 Children with Coronavirus Disease-2019 in the West of China: a Multiple-center Case Series : 10.50 (7.75 -25.25) days
Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures : 4 days (IQR 3-6)
Estimation of incubation period distribution of COVID-19 using disease onset forward time: a novel cross-sectional and forward follow-up study : median of incubation period is 8Â·13 days (95% confidence interval [CI]: 7Â·37-8Â·91), the mean is 8Â·62 days (95% CI: 8Â·02-9Â·28)
Clinical Characteristics of SARS-CoV-2 Pneumonia Compared to Controls in Chinese Han Population : 4 days (IQR, 2 to 7)
The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application : 5.1 days (CI, 4.5 to 5.8 days)
Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole : 4.9 days (95% confidence interval [CI], 4.4 to 5.4) days
Transmission interval estimates suggest pre-symptomatic spread of COVID-19 : 7.1 (6.13, 8.25) days for Singapore and 9 (7.92, 10.2) days for Tianjin
Transmission and clinical characteristics of coronavirus disease 2019 in 104 outside-Wuhan patients, China : 6 days, ranged from 1 to 32 days
Characteristics of COVID-19 infection in Beijing : 6.7 days
Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series : 6 (IQR, 3-8) days
Title: A descriptive study of the impact of diseases control and prevention on the epidemics 1 dynamics and clinical features of SARS-CoV-2 outbreak in Shanghai, lessons learned for : 6.4 days (95% 175 CI 5.3 to 7.6)
A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster : 3-6 days
Epidemiological characteristics of 1212 COVID-19 patients in Henan, China. medRxiv : average, mode and median incubation periods are 7.4, 4 and 7 days
Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data : 5.6 days (95% CI: 4.4, 7.4)
Title: The incubation period of 2019-nCoV infections among travellers from Wuhan, China : 6.4 (5.6 -7.7, 95% CI) days
"
1,What is the length of viral shedding after illness onset?,"Viral Kinetics and Antibody Responses in Patients with COVID-19 : 2 days (range, 3-38 ) in nasopharyngeal swabs, 19 days (range, 5-37) in sputum and 18 days (range, 7-26) in stools
Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study : 20Â·0 days (IQR 17Â·0-24Â·0)
"
2,What is the incubation period across different age groups?,"Children are unlikely to have been the primary source of household SARS-CoV-2 infections : 7.74 d Â± 3.22
Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)? : median incubation period of both male and female adults was similar (7-day) but significantly shorter than that (9-day) of child cases
Clinical Characteristics of 34 Children with Coronavirus Disease-2019 in the West of China: a Multiple-center Case Series : 10.50 (7.75 -25.25) days
"
3,What is the proportion of patients who were asymptomatic?,"A considerable proportion of individuals with asymptomatic SARS-CoV-2 infection in Tibetan population : 21.7%
High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China : 19%
High transmissibility of COVID-19 near symptom onset : there were 32 laboratory-confirmed COVID-19 patients, including five household/family clusters and four asymptomatic patients
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries : 49 (14.89%) were asymptomatic
Estimating the Asymptomatic Proportion of 2019 Novel Coronavirus onboard the Princess Cruises Ship, 2020 : 17.9%
Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened among Close Contacts in Nanjing, China : The remaining 7 (29.2%) cases showed normal CT image and had no symptoms during hospitalization.
Characteristics of COVID-19 infection in Beijing : 13 (5.0%) asymptomatic cases
"
4,What is the proportion of pediatric patients who were asymptomatic?,"Epidemiological and Clinical Characteristics of Children with Coronavirus Disease 2019 : 20 (27.03%) cases
Articles Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study : ten (28%) patients
High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China : 28.6%
Title: The clinical and epidemiological features and hints of 82 confirmed COVID-19 pediatric cases aged 0-16 in Wuhan, China : 8 no symptoms
Preliminary epidemiological analysis on children and adolescents with novel coronavirus disease 2019 outside Hubei Province, China: an observational study utilizing crowdsourced data : 2 (8.0%) cases
The different clinical characteristics of corona virus disease cases between children and their families in China -the character of children with COVID-19 : six (66.7%) children
"
5,What is the asymptomatic transmission during incubation?,"Temporal dynamics in viral shedding and transmissibility of COVID-19 : 44% of transmission prior to symptom onset
Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole : (73.0%) were infected before the symptom onset of the first-generation cases
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background : In 102 (43.78%) infector-infectee pairs, transmission occurred before infectors' symptom onsets
Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole : (73.0%) were infected before the symptom onset of the first-generation cases
Title: The serial interval of COVID-19 from publicly reported confirmed cases Running Head: The serial interval of COVID-19 : 12.6% of reports indicating pre-symptomatic transmission
"
6,What is the length of viral shedding in stool?,"Do children need a longer time to shed SARS- CoV-2 in stool than adults? : 100% positive on the third week after onset and 30% positive 29 days later
Evaluation of SARS-CoV-2 RNA shedding in clinical specimens and clinical characteristics of 10 patients with COVID-19 in Macau : detected in feces till 14 days after the onset of symptoms
Viral Kinetics and Antibody Responses in Patients with COVID-19 : 18 days (range, 7-26)
Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients 2 3 : 22.0 days (IQR 15.5 to 23.5)
"
7,What is the length of viral shedding from the nasopharynx?,"Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients 2 3 : 10.0 days (IQR 8.0 to 17.0)
Viral Kinetics and Antibody Responses in Patients with COVID-19 : 12 days (range, 3-38 )
"
8,What is the length of viral shedding in urine?,"Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients 2 3 : all patient data were and urine samples were all negative, except for urine samples from two 53 severe cases at the latest available detection point (16 or 21 d.a.o)
"
9,What is the length of viral shedding in blood?,"Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients Conversion time of SARS-CoV-2 RT-PCR in ICU and non-ICU patients Letter to the Editor Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients : 10.17 Â± 6.134 and 14.63 Â± 5.878 days in non-ICU and ICU patients respectively
"
